パターンID,難易度(1 or 2),問題文,データファイル名,選択肢A(正解),選択肢B(不正解),選択肢C(不正解),選択肢D(不正解),解説,解説用データファイル名
1,1,TWICEのメンバーでないのは誰？,,ヒョナ,ダヒョン,サナ,ジヒョ,,
1,1,TWICEの餅ゴリの名前は？,,パク・ジニョン,ソン・ゴクウ,ピッコロ,織田信長,,
1,1,TWICEのデビュー曲は？,,OOH-AHH하게,TT,もう一度キスしたかった,ミルクムナリ,,
1,1,TWICEの曲Likeyのりパッケージアルバムの曲はどれ,,Merry&Happy,BDZ,TT,aitai,,
1,1,ツウィの身長は？,,170㌢,149㌢,190㌢,3メートル,,
1,1,youtubeで公開されているTWCE位の曲　TTの再生回数は？,,4億1千万回,100回,50万回,5000万回,,
1,1,TWICEは何人グループか？,,9人,48人,5億6千万人,5人,,
1,1,TWICEの日本人メンバーじゃないのはどれか,,ナヨン,サナ,モモ,ミナ,,
1,1,TWICEのツウィの性別はどれか,,女,男,オカマ,オナベ,,
1,2,TWICEは結成何年目か？,,3年,13年,28年,1年,,
1,2,TWICEのメンバーはどれか,,湊崎紗奈,ジヒョン,ジョンヒョン,タヒョン,,
1,2,TWICEの最年長はだれか？,,ナヨン,ミナ,モモ,チェヨン,,
1,2,TTの歌いだしは誰か,,ナヨン,ミナ,モモ,ジヒョ,,
1,2,KNOCK KNOCKで餅ゴリが持ってるものは？,,キーボード,枕,ノート,メンバー表,,
1,2,日本シングル曲Candy popの監督はだれか？,,京極尚彦,宮崎駿,手塚治虫,赤根和樹,,
1,2,TWICE JAPAN 1st FULL ALBUM『BDZ』のリパッケージ曲はどれか？,,stay by my side,Wake me up,signal,dance the night away,,
1,2,TWICE 2017年紅白歌合戦で歌った曲は？,,TT　japanese ver,TT,Candy pop,one more time,,
1,2,ハートシェイカーのMVでダンスミスを使われてしまったのは誰,,ツウィ,サナ,ジヒョ,ナヨン,,
1,2,ケイダイ,,ツウィ,サナ,モモ,ジョンヨン,,
1,2,オヒョヒョ,,サナ,ジヒョ,チェヨン,ミナ,,
