パターンID,難易度,問題文,データファイル名,選択肢A(正解),選択肢B(不正解),選択肢C(不正解),選択肢D(不正解),解説,解説用データファイル名
1,1,日本の首都は？,,東京,千葉,滋賀,佐賀,ラーメンズ,
1,1,モンスターボール、いく使ったらプレミアボールがもらえる？,,10,3,5,20,10個毎1個でもらえる,
1,1,Linuxちょっとできる人はだれ？,,リーナス・トーバルズ,ツヨポン・センセ,ジェームス・トパーズ,ホワイトボー・ドトペン,ちょっとできるTシャツ着てるよ,
1,1,赤は？,,#FF0040,#0000FF,#00FF40,#0B3B17,rgbの順序だよ,
1,1,魚の仲間は？,,さめ,イルカ,さかなクン,サカナクション,さかなクンは魚の味方だけど、魚からは仲間だと思われてないと思う,
1,1,千利休のお師匠さんのお師匠さんは？,,一休さん,中大兄皇子,浦島太郎,桃太郎,たしかそうだったはず,
4,1,youtubeを外部サイトに埋め込む祭使用するHTMLタグは？,,iframe,,,,埋め込みで確認してみて,
1,1,炎の匂い、しみついて？,,むせる,けむい,くさい,はきそう,ボトムス見よう,
1,1,ドラクエ5の魔王は?,,ミルドラース,りゅうおう,つよぽん,ゲマ,影薄いけどミルドラースです,
1,2,"[[‘’,’’,’’,’’,’😜’],[’’,’😃’,’😂’,’🙃’,’😜’],[‘’,’🤔’,’😃’,’😂’,’🙃’],[‘🤔’,’😃’,’😂’,’🙃’,’😜’],[‘🤔’,’😃’,’😂’,’🙃’,’😜’]]",,5,4,6,7,５連鎖します,
1,2,たいようを見上げると？,,まぶしい,さむい,むかつく,悟る,眩しいよね,
4,2,ルーマニアのファシスト派閥の名前は？,,ルーマニア鉄衛団,,,,名前かっこよくない？,
1,2,リモートでサーバーにログインする時に使うものは？,,秘密鍵,公開鍵,免許書,マイナンバー,覚えてますか？この問題,
1,2,今年の恵方巻きの方角は？,,南南東,南南西,東西南北,国士無双,今年は南南東,
1,2,第二次大戦前イギリスに置ける兵器で、9回の実験全てで失敗を納めた奇跡の紅茶キメまくり兵器は？,,パンジャンドラム,ツァーリタンク,ハボクック,コウモリ爆弾,パンジャンドラムは哲学,
1,2,"([][""""]+"""")[-~[]- -~[]]+([][""""]+"""")[-~[]]+(({})+[])[5]+(({})+[])[-~[]]",,unko,hoge,TRUE,FALSE,実行したらunkoって出ます,
1,2,NK-POPの공격전이다：コンギョッチョニダ日本語訳すると？,,攻城戦だ,南を撃ち落とせ,攻めろ,天下無敵,無駄にノリのいい曲です,
1,2,ポケモンで急所の出る確率は？,,1/24,1/8,1/32,1/16,最近1/24になりました,
1,2,ドラクエモンスターズシリーズで、スライムを4体配合してできるモンスターは？,,スライムキング,スライムベス,バブルスライム,つよぽん,色は変わらないです,
