パターンID,難易度（1 or 2）,問題文,データファイル名,選択肢A(正解),選択肢B(不正解),選択肢C(不正解),選択肢D(不正解),解説,解説用データファイル名
1,1,この中でアプリをＤＬしなくてもできるゲームはどれか,,グランブルーファンタジー,プリンセスコネクトＲｅＤｉｖｅ,アイドルマスターシンデレラガールズスターライトステージ,シャドウバース,,
1,1,この中でリリースされたのが一番新しいのはどれか,,プリンセスコネクトＲｅＤｉｖｅ,グランブルーファンタジー,アイドルマスターシンデレラガールズスターライトステージ,シャドウバース,,
1,1,プリンセスコネクトＲｅＤｉｖｅのジャンルは何か,,アニメＲＰＧ,スマホＲＰＧ,デジタルカードゲーム,リズムゲーム,,
1,1,グランブルーファンタジーを作っている会社の名前は,,サイゲームス,サイバーエージェント,バンダイナムコゲームス,ミクシィ,,
1,1,アイドルマスターシンデレラガールズスターライトステージはとある会社とサイゲームスの共同制作である。とある会社とはどこか,,バンダイナムコゲームス,ガンホー,ＫＯＮＡＭＩ,ＳＥＧＡ,,
1,1,シャドウバースはサイゲームスのあるゲームが元となって制作された。あるゲームとはどれか,,神撃のバハムート,怪盗ロワイヤル,釣りスタ,ドラゴンコレクション,,
1,1,プリンセスコネクトＲｅｄｉｖｅはサービス停止した前作を元に作られた作品である。前作の名前は,,プリンセスコネクト,プリンセスコネクト１,プリンセスコネクトＳ,プリンセスコネクトＧ,,
1,1,グランブルーファンタジーは多数のメディア展開をしているが、この中でしていないメディア展開はどれか,,映画,ＴＶアニメ,キャラソンＣＤ,コミック,,
1,1,サイゲームスはある会社の子会社である。サイゲームスの親会社の名前は,,サイバーエージェント,シーエー・モバイル,サイバーエージェント・ベンチャーズ,ＣｙｂｅｒＺ,,
1,1,この中で２０１８年１１月現在サービスを終了しているサイゲームスのゲームはどれか,,ナイツオブグローリー,ドラガリアロスト,神撃のバハムート,リトルノア,,
1,2,グランブルーファンタジーの主人公２名の名前はその題名から取っている。主人公２名の名前は,,グランとジータ,ランブルとタジー,グランとジーファ,ラブルとファージ,,
1,2,アイドルマスターシンデレラガールズの中心ユニットである３人→「島村卯月・渋谷凛・本田未央」によるユニットの名前は,,ニュージェネレーション,ニューウェーブ,シンデレラプロジェクト,ワンステップス,,
1,2,シャドウバースはカードゲームでありながらそのゲームバランスから様々なものに例えられる。この中で呼ばれたことがない例えは,,○×ゲーム,めんこ,コイントス,ソリティア,,
1,2,プリンセスコネクトＲｅｄｉｖｅではキャラ達が色々な集まりを組んでいる。その集まりの名前は,,ギルド,グループ,パーティー,ファミリー,,
1,2,グランブルーファンタジーでは１０種類の武器がありそれぞれの最強の使い手達で組まれたチームがある。そのチームの名前は,,十天衆,十神合,十強人,十連党,,
1,2,シャドウバースのカードにはそれぞれレアリティが設定されている。最高レアリティの名前は,,レジェンド,エピック,ＳＳＲ,プレミアム,,
1,2,アイドルマスターシンデレラガールズには様々な年代のアイドルが数多くいる。正しい最年少と最年長の組み合わせはどれか,,９歳と３１歳,１０歳と３１歳,９歳と２９歳,１０歳と２９歳,,
1,2,アイドルマスターシンデレラガールズでは所謂「石」を使ってガシャを回したり色々なアイテムを購入したりすることができる。その「石」の名前は,,スタージュエル,シンデレラストーン,宝晶石,ムーンクリスタル,,
1,2,プリンセスコネクトＲｅｄｉｖｅでは育てたキャラを戦わせる所謂ＰｖＰコンテンツがある。そのコンテンツの名称は,,アリーナ,トーナメント,リーグ,古戦場,,
1,2,グランブルーファンタジーは色々な作品とコラボをしているが、この中で２０１８年１１月現在コラボしていない作品はどれか,,プリンセスコネクト,プリキュア,ストリートファイター,アイドルマスターシンデレラガールズ,,
