パターンID,難易度(1 or 2),問題文,データファイル名,選択肢A(正解),選択肢B(不正解),選択肢C(不正解),選択肢D(不正解),解説,解説用データファイル名
3,1,アニメ「アイドルマスターシンデレラガールズ」1話にて広告が掲示されている、毎週土曜21時から放送されていた白坂小梅が主演を務めるドラマのタイトルは次のうちどれ？,,「Zombi Girl」,「328日後....」,「ミュンヘンゾンビ紀行」,「Beware Watch」,,
3,1,アニメ「アイドルマスターシンデレラガールズ」1話にてCDショップに二宮飛鳥のポスターが掲示されていますが、このポスターで二宮飛鳥が着ている衣装は次のうちどれ？,,[ｴｸｽﾃﾝﾄﾞﾜｰﾙﾄﾞ]+,[ｸﾞﾘｯﾀｰｽﾃｰｼﾞ]+,[ｻﾌｧﾘｱﾄﾞﾍﾞﾝﾁｬｰ]+,[ﾛｺｶﾞｰﾙ]+,,
3,1,"アニメ「アイドルマスターシンデレラガールズ」21話にて結成された神崎蘭子と白坂小梅のユニット""Rosenburg Alptraum""。日本語に訳すと次のうちどれ？",,茨の城の悪夢,茨の城の天使,茨の城の月蝕,茨の城の日蝕,,
3,2,アニメ「アイドルマスターシンデレラガールズ」22話、オータムフェスにて白坂小梅、木村夏樹、安部菜々を加えた新体制で披露された「GOIN'!!!」でアイドル達が着ている衣装は次のうちどれ？,,マイファーストスター,クリスタルナイトパーティ,スターリースカイ･ブライト,アクロス･ザ･スターズ,,
3,2,"アニメ「アイドルマスターシンデレラガールズ」21話にて結成された神崎蘭子と白坂小梅のユニット""Rosenburg Alptraum""。日本語に訳すと次のうちどれ？",,茨の城の悪夢,茨の城の天使,茨の城の月蝕,茨の城の日蝕,,
3,2,アニメ「アイドルマスターシンデレラガールズ」第6話にて有浦柑奈、白坂小梅、二宮飛鳥、早坂美玲、松永涼らがガールズバンドを組んで清涼飲料水のCM撮影をしているシーンがあります。この清涼飲料水の商品名は次のうちどれ？,,Panta Grape,Sqlite,Mr Copper,四谷サイダー,,
2,1,イントロクイズ!,,小さな恋の密室事件,To my darling...,毒茸伝説,ゴキゲンParty Night,,
2,1,イントロクイズ!,,秘密のトワレ,き･ま･ぐ･れ☆Café au lait!,ラヴィアンローズ,明日また会えるよね,,
2,1,イントロクイズ!,,BEYOND THE STARLIGHT,青空エール,ドレミファクトリー!,絶対特権主張しますっ!,,
2,1,イントロクイズ!,,未完成の歴史,桜の風,HARURUNRUN,Spring Screaming,,
2,1,イントロクイズ!,,リトルリドル,桜の頃,Nothing but You,With Love,,
2,1,イントロクイズ!,,Starry-Go-Round,Happy New Yeah!,Vast world,ガールズ･イン･ザ･フロンティア,,
2,1,イントロクイズ!,,EVERMORE,イリュージョニスタ!,Yes! Party Time!!,Stage Bye Stage,,
2,2,イントロクイズ!,,Bloody Festa,Pandemic Alone,One Life,ハピガ!,,
2,2,イントロクイズ!,,PROUST EFFECT,恋色エナジー,Near to You,フレデリカ、猫やめるよ,,
2,2,イントロクイズ!,,共鳴世界の存在論,Hotel Moonside,咲いてJewel,Private Sign,,
2,2,イントロクイズ!,,Lunatic Show,Nocturne,shabon song,Flip Flop,,
2,2,イントロクイズ!,,アンデッド･ダンスロック,Twin☆くるっ★テール,凸凹スピードスター,Sunshine See May,,
2,2,イントロクイズ!,,クレイジークレイジー,∀NSWER,Trinity Field,美に入り彩を穿つ,,
2,2,イントロクイズ!,,とんでいっちゃいたいの,銀のイルカと熱い風,夏恋 -NATSU KOI-,CoCo夏夏夏 Holiday,,
